order_id,order_date,customer_id,segment,category,sub_category,sales,quantity,profit
CA-2016-152156,11/8/2016,CG-12520,Consumer,Furniture,Bookcases,261.96,2,41.9136
CA-2016-152156,11/8/2016,CG-12520,Consumer,Furniture,Chairs,731.94,3,219.582
CA-2016-138688,6/12/2016,DV-13045,Corporate,Office Supplies,Labels,14.62,2,6.8714
US-2015-108966,10/11/2015,SO-20335,Consumer,Furniture,Tables,957.5775,5,-383.031
US-2015-108966,10/11/2015,SO-20335,Consumer,Office Supplies,Storage,22.368,2,2.5164
CA-2014-115812,6/9/2014,BH-11710,Consumer,Furniture,Furnishings,48.86,7,14.1694
CA-2014-115812,6/9/2014,BH-11710,Consumer,Office Supplies,Art,7.28,4,1.9656
CA-2014-115812,6/9/2014,BH-11710,Consumer,Technology,Phones,907.152,6,90.7152
CA-2014-115812,6/9/2014,BH-11710,Consumer,Office Supplies,Binders,18.504,3,5.7825
CA-2014-115812,6/9/2014,BH-11710,Consumer,Office Supplies,Appliances,114.9,5,34.47
CA-2014-115812,6/9/2014,BH-11710,Consumer,Furniture,Tables,1706.184,9,85.3092
CA-2014-115812,6/9/2014,BH-11710,Consumer,Technology,Phones,911.424,4,68.3568
CA-2017-114412,4/15/2017,AA-10480,Consumer,Office Supplies,Paper,15.552,3,5.4432
CA-2016-161389,12/5/2016,IM-15070,Consumer,Office Supplies,Binders,407.976,3,132.5922
US-2015-118983,11/22/2015,HP-14815,Home Office,Office Supplies,Appliances,68.81,5,-123.858
US-2015-118983,11/22/2015,HP-14815,Home Office,Office Supplies,Binders,2.544,3,-3.816
CA-2014-105893,11/11/2014,PK-19075,Consumer,Office Supplies,Storage,665.88,6,13.3176
CA-2014-167164,5/13/2014,AG-10270,Consumer,Office Supplies,Storage,55.5,2,9.99
CA-2014-143336,8/27/2014,ZD-21925,Consumer,Office Supplies,Art,8.56,2,2.4824
CA-2014-143336,8/27/2014,ZD-21925,Consumer,Technology,Phones,213.48,3,16.011
CA-2014-143336,8/27/2014,ZD-21925,Consumer,Office Supplies,Binders,22.72,4,7.384
CA-2016-137330,12/9/2016,KB-16585,Corporate,Office Supplies,Art,19.46,7,5.0596
CA-2016-137330,12/9/2016,KB-16585,Corporate,Office Supplies,Appliances,60.34,7,15.6884
US-2017-156909,7/16/2017,SF-20065,Consumer,Furniture,Chairs,71.372,2,-1.0196
CA-2015-106320,9/25/2015,EB-13870,Consumer,Furniture,Tables,1044.63,3,240.2649
CA-2016-121755,1/16/2016,EH-13945,Consumer,Office Supplies,Binders,11.648,2,4.2224
CA-2016-121755,1/16/2016,EH-13945,Consumer,Technology,Accessories,90.57,3,11.7741
US-2015-150630,9/17/2015,TB-21520,Consumer,Furniture,Bookcases,3083.43,7,-1665.0522
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Binders,9.618,2,-7.0532
US-2015-150630,9/17/2015,TB-21520,Consumer,Furniture,Furnishings,124.2,3,15.525
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Envelopes,3.264,2,1.1016
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Art,86.304,6,9.7092
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Binders,6.858,6,-5.715
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Art,15.76,2,3.546
CA-2017-107727,10/19/2017,MA-17560,Home Office,Office Supplies,Paper,29.472,3,9.9468
CA-2016-117590,12/8/2016,GH-14485,Corporate,Technology,Phones,1097.544,7,123.4737
CA-2016-117590,12/8/2016,GH-14485,Corporate,Furniture,Furnishings,190.92,5,-147.963
CA-2015-117415,12/27/2015,SN-20710,Home Office,Office Supplies,Envelopes,113.328,9,35.415
CA-2015-117415,12/27/2015,SN-20710,Home Office,Furniture,Bookcases,532.3992,3,-46.9764
CA-2015-117415,12/27/2015,SN-20710,Home Office,Furniture,Chairs,212.058,3,-15.147
CA-2015-117415,12/27/2015,SN-20710,Home Office,Technology,Phones,371.168,4,41.7564
CA-2017-120999,9/10/2017,LC-16930,Corporate,Technology,Phones,147.168,4,16.5564
CA-2016-101343,7/17/2016,RA-19885,Corporate,Office Supplies,Storage,77.88,2,3.894
CA-2017-139619,9/19/2017,ES-14080,Corporate,Office Supplies,Storage,95.616,2,9.5616
CA-2016-118255,3/11/2016,ON-18715,Corporate,Technology,Accessories,45.98,2,19.7714
CA-2016-118255,3/11/2016,ON-18715,Corporate,Office Supplies,Binders,17.46,2,8.2062
CA-2014-146703,10/20/2014,PO-18865,Consumer,Office Supplies,Storage,211.96,4,8.4784
CA-2016-169194,6/20/2016,LH-16900,Consumer,Technology,Accessories,45,3,4.95
CA-2016-169194,6/20/2016,LH-16900,Consumer,Technology,Phones,21.8,2,6.104
CA-2015-115742,4/18/2015,DP-13000,Consumer,Office Supplies,Binders,38.22,6,17.9634
CA-2015-115742,4/18/2015,DP-13000,Consumer,Office Supplies,Labels,75.18,6,35.3346
CA-2015-115742,4/18/2015,DP-13000,Consumer,Furniture,Furnishings,6.16,2,2.9568
CA-2015-115742,4/18/2015,DP-13000,Consumer,Furniture,Chairs,89.99,1,17.0981
CA-2016-105816,12/11/2016,JM-15265,Corporate,Office Supplies,Fasteners,15.26,7,6.2566
CA-2016-105816,12/11/2016,JM-15265,Corporate,Technology,Phones,1029.95,5,298.6855
CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Storage,208.56,6,52.14
CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Paper,32.4,5,15.552
CA-2016-111682,6/17/2016,TB-21055,Consumer,Furniture,Chairs,319.41,5,7.098
CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Paper,14.56,2,6.9888
CA-2016-111682,6/17/2016,TB-21055,Consumer,Technology,Accessories,30,2,3.3
CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Binders,48.48,4,16.362
CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Art,1.68,1,0.84
CA-2015-135545,11/24/2015,KM-16720,Consumer,Technology,Accessories,13.98,2,6.1512
CA-2015-135545,11/24/2015,KM-16720,Consumer,Office Supplies,Binders,25.824,6,9.3612
CA-2015-135545,11/24/2015,KM-16720,Consumer,Office Supplies,Paper,146.73,3,68.9631
CA-2015-135545,11/24/2015,KM-16720,Consumer,Furniture,Furnishings,79.76,4,22.3328
US-2015-164175,4/30/2015,PS-18970,Home Office,Furniture,Chairs,213.115,5,-15.2225
