sales,quantity,profit,label
261.96,2,41.9136,2
731.94,3,219.582,1
14.62,2,6.8714,2
957.5775,5,-383.031,1
22.368000000000002,2,2.5164,2
48.86,7,14.1694,2
7.28,4,1.9656,2
907.1519999999999,6,90.7152,1
18.504,3,5.7825,2
114.9,5,34.47,2
1706.184,9,85.3092,1
911.424,4,68.3568,1
15.552,3,5.4432,2
407.976,3,132.5922,2
68.81,5,-123.85799999999999,2
2.544,3,-3.8160000000000003,2
665.88,6,13.3176,1
55.5,2,9.99,2
8.56,2,2.4824,2
213.48,3,16.011,2
22.72,4,7.3839999999999995,2
19.46,7,5.0596,2
60.34,7,15.6884,2
71.372,2,-1.0196,2
1044.63,3,240.2649,1
11.648,2,4.2224,2
90.57,3,11.7741,2
3083.43,7,-1665.0522,0
9.618,2,-7.0532,2
124.2,3,15.525,2
3.264,2,1.1016,2
86.304,6,9.7092,2
6.858,6,-5.715,2
15.76,2,3.5460000000000003,2
29.471999999999998,3,9.9468,2
1097.5439999999999,7,123.4737,1
190.92,5,-147.963,2
113.32799999999999,9,35.415,2
532.3992,3,-46.9764,2
212.058,3,-15.147,2
371.168,4,41.7564,2
147.168,4,16.5564,2
77.88,2,3.8939999999999997,2
95.616,2,9.5616,2
45.98,2,19.7714,2
17.46,2,8.2062,2
211.96,4,8.4784,2
45.0,3,4.95,2
21.8,2,6.104,2
38.22,6,17.9634,2
75.18,6,35.3346,2
6.16,2,2.9568,2
89.99,1,17.0981,2
15.26,7,6.2566,2
1029.95,5,298.6855,1
208.56,6,52.14,2
32.4,5,15.552,2
319.41,5,7.098,2
14.56,2,6.9888,2
30.0,2,3.3,2
48.48,4,16.362000000000002,2
1.68,1,0.84,2
13.98,2,6.1512,2
25.824,6,9.3612,2
146.73,3,68.9631,2
79.76,4,22.3328,2
213.115,5,-15.2225,2
1113.024,8,111.3024,1
167.968,4,62.988,2
75.88,2,35.6636,2
4.6160000000000005,1,1.7309999999999999,2
19.05,3,8.763,2
831.936,8,-114.3912,1
97.04,2,1.213,2
72.78399999999999,1,-18.195999999999998,2
1.248,3,-1.9344,2
9.708,3,-5.8248,2
27.24,3,2.7239999999999998,2
19.3,5,-14.475,2
208.16,1,56.2032,2
16.74,3,8.0352,2
14.9,5,4.172,2
21.39,1,6.2031,2
200.984,7,62.8075,2
230.37599999999998,3,-48.9549,2
301.96,2,33.2156,2
19.99,1,6.7966,2
6.16,2,2.9568,2
158.368,7,13.8572,2
20.1,3,6.632999999999999,2
73.584,2,8.2782,2
6.48,1,3.1104,2
12.96,2,6.2208,2
53.34,3,16.5354,2
32.96,2,16.1504,2
5.682,1,-3.7880000000000003,2
96.53,7,40.5426,2
51.312,3,17.9592,2
77.88,6,22.5852,2
64.624,7,22.6184,2
95.976,3,-10.7973,2
1.788,3,-3.0396,2
23.92,4,11.7208,2
238.896,6,-26.8758,2
102.36,3,-3.8385,2
36.882,3,-25.8174,2
74.112,8,17.6016,2
27.991999999999997,1,2.0994,2
3.304,1,1.0738,2
339.96,5,67.992,2
41.96,2,10.9096,2
75.96,2,22.788,2
27.24,6,13.3476,2
40.096,14,14.5348,2
4.72,2,1.652,2
23.976,3,7.4925,2
130.464,6,44.0316,2
787.53,3,165.3813,1
157.79399999999998,1,-115.7156,2
47.04,3,18.3456,2
30.84,4,13.878,2
226.56,6,63.4368,2
115.02,9,51.75899999999999,2
68.04,7,19.7316,2
600.558,3,-8.5794,1
617.7,6,-407.68199999999996,1
2.388,2,-1.8308,2
243.99200000000002,7,30.499000000000002,2
81.42399999999999,2,-9.1602,2
238.56,3,26.2416,2
59.97,5,-11.994000000000002,2
78.304,2,29.364,2
21.456,9,6.9732,2
20.04,3,9.6192,2
